vegetation_coverage,excess_green_mean,excess_green_std,texture_variation,component_density,row_alignment,weed_present
0.389,0.2748,0.1027,0.1122,3.8253,0.5328,0
0.4661,0.1288,0.1084,0.1187,5.7008,0.5304,1
0.4096,0.2254,0.1442,0.1563,5.3491,0.4285,1
0.469,0.1494,0.1253,0.0836,4.628,0.5538,1
0.408,0.1411,0.1186,0.1584,3.8719,0.4527,1
0.5229,0.1741,0.1311,0.1765,5.1149,0.3393,1
0.3032,0.238,0.1124,0.1105,5.6054,0.4963,1
0.2912,0.1782,0.1245,0.125,0.9847,0.6931,0
0.2806,0.1448,0.1152,0.1625,6.8023,0.2867,1
0.4185,0.1446,0.1327,0.1777,6.9602,0.4799,1
0.318,0.2078,0.0779,0.1031,2.6842,0.528,1
0.2831,0.222,0.0879,0.1543,3.7106,0.4349,1
0.5148,0.2768,0.154,0.2004,8.4098,0.178,1
0.3961,0.2123,0.1168,0.114,5.6428,0.3981,0
0.4265,0.1224,0.1658,0.188,5.8902,0.401,1
0.2532,0.1553,0.1264,0.1205,3.8955,0.7192,0
0.2345,0.2125,0.142,0.0671,2.3663,0.5636,0
0.2718,0.1625,0.1085,0.1213,4.1815,0.5381,1
0.3963,0.1911,0.122,0.1784,4.4965,0.4207,1
0.3686,0.2057,0.0917,0.1611,4.4744,0.542,1
0.4214,0.1396,0.1501,0.1702,7.5596,0.5254,1
0.3794,0.2989,0.1002,0.1284,3.1637,0.7071,0
0.3891,0.1316,0.1474,0.1444,4.5845,0.34,1
0.4143,0.1949,0.0874,0.1019,2.6962,0.5511,0
0.3518,0.1935,0.1371,0.1586,5.4809,0.4359,1
0.4194,0.2033,0.1344,0.2114,4.6056,0.3828,1
0.2902,0.2933,0.0864,0.0874,2.5814,0.5859,0
0.5013,0.1777,0.121,0.1661,4.0316,0.2934,1
0.316,0.2377,0.1365,0.1811,4.9144,0.5852,0
0.5323,0.109,0.1912,0.1938,5.605,0.3607,1
0.332,0.2456,0.0822,0.1871,3.7359,0.5278,0
0.4448,0.1801,0.1595,0.1777,5.9896,0.3136,1
0.3114,0.2817,0.0392,0.0758,4.9086,0.6878,0
0.3189,0.1801,0.0941,0.0723,2.3197,0.5551,0
0.464,0.1234,0.0978,0.1678,7.6315,0.3182,1
0.2511,0.2759,0.0726,0.0574,2.8631,0.8381,0
0.272,0.1314,0.0603,0.1659,3.9533,0.6791,0
0.4012,0.1592,0.1435,0.2077,6.3002,0.1851,1
0.3677,0.2386,0.1292,0.1482,4.5511,0.5045,0
0.3468,0.1473,0.0914,0.1495,6.4724,0.4769,1
0.3809,0.1499,0.1233,0.1496,6.2898,0.179,0
0.5557,0.1205,0.1226,0.2019,6.0672,0.3823,1
0.3274,0.1743,0.1446,0.0851,3.9174,0.4616,1
0.1273,0.2406,0.081,0.0279,1.442,0.6123,0
0.3222,0.202,0.0681,0.0896,3.9973,0.6301,0
0.2306,0.1867,0.0905,0.1523,4.7382,0.5618,0
0.4531,0.1321,0.1768,0.183,5.7771,0.2868,1
0.5461,0.1349,0.1579,0.203,5.4901,0.2738,1
0.2204,0.3177,0.0649,0.0827,1.4092,0.5939,0
0.2332,0.1854,0.1039,0.1676,4.8324,0.3981,1
0.5485,0.1429,0.1496,0.1621,5.9976,0.1803,1
0.3457,0.1619,0.1086,0.169,5.4781,0.5205,1
0.5041,0.1453,0.0952,0.159,5.8596,0.4081,1
0.379,0.0993,0.1168,0.1943,4.8256,0.3785,1
0.4676,0.1088,0.1555,0.1373,6.7666,0.3169,1
0.4292,0.1545,0.1006,0.1276,2.4745,0.4909,0
0.1608,0.2523,0.0798,0.0763,3.8817,0.7433,0
0.4225,0.2034,0.1376,0.1445,5.9802,0.3967,1
0.4612,0.0874,0.1801,0.1378,3.6463,0.3126,1
0.1859,0.2133,0.0881,0.0729,4.208,0.4379,0
0.5201,0.0791,0.1733,0.2084,7.7135,0.1993,1
0.1301,0.2605,0.0536,0.0274,0.7364,0.7466,0
0.1385,0.3104,0.0627,0.0443,0.3489,0.6984,0
0.2195,0.2253,0.0832,0.0248,0.7253,0.6444,0
0.3048,0.2093,0.0875,0.1062,6.0085,0.6189,0
0.3757,0.2445,0.1145,0.1761,3.6817,0.4541,1
0.2983,0.2167,0.1288,0.153,2.852,0.5829,0
0.3289,0.1573,0.1017,0.1412,4.8165,0.3418,0
0.2959,0.2166,0.1036,0.1257,1.9947,0.5254,0
0.4838,0.1073,0.1614,0.1722,5.4896,0.1239,1
0.2598,0.2335,0.0831,0.1599,4.3658,0.5407,0
0.338,0.225,0.1292,0.1872,4.338,0.4432,1
0.1311,0.1796,0.09,0.0963,2.2699,0.7454,0
0.3107,0.1977,0.1125,0.2182,4.4483,0.5065,1
0.4377,0.1479,0.0995,0.1629,5.5338,0.4074,1
0.4547,0.1547,0.1445,0.1679,6.7133,0.2157,1
0.4943,0.2079,0.1333,0.1372,4.3179,0.3302,0
0.3811,0.2,0.1568,0.1449,4.2438,0.352,1
0.3194,0.1959,0.1163,0.1903,3.1118,0.5625,0
0.3706,0.2108,0.1491,0.1514,4.4012,0.5521,1
0.2843,0.1821,0.0752,0.085,4.4008,0.6091,0
0.3284,0.12,0.1245,0.1336,5.9244,0.3747,1
0.3403,0.0644,0.1393,0.173,3.4351,0.4646,1
0.3401,0.1719,0.108,0.1883,3.8813,0.4097,1
0.456,0.1128,0.1633,0.1766,6.101,0.4615,1
0.0743,0.2548,0.1004,0.03,4.6248,0.7594,0
0.3053,0.1048,0.1257,0.1146,3.6875,0.4673,1
0.426,0.171,0.1054,0.1851,4.0149,0.5067,1
0.4347,0.1979,0.1033,0.1742,4.9886,0.4529,1
0.4701,0.1356,0.16,0.1581,4.8853,0.4595,1
0.4703,0.1946,0.1362,0.2105,4.4744,0.3928,0
0.5064,0.1259,0.1492,0.247,7.3101,0.2417,1
0.4599,0.1389,0.1391,0.1962,6.9353,0.3607,1
0.2539,0.2291,0.1075,0.1235,4.6815,0.5322,1
